"report_id","duration","session_date","motif_seance_id","rating","coach_name","user_first_name","user_last_name","user_email","language","note","report_date","status","client_feedbck"
"22","1","2020-10-20","1","5","coach3","cor3","cor3","cor3@example.com","1","This is note","2020-10-08 03:14:53","2","2"
"23","2","2020-10-20","2","4","coach3","cor2","cor2","cor3@example.com","2","This is note","2020-10-08 03:14:53","4","5"
"24","2","2020-10-20","3","4","coach3","cor4","cor4","cor3@example.com","2","This is note","2020-10-08 03:14:53","2","3"
"25","2","2020-10-20","3","5","coach3","cor5","cor5","cor3@example.com","1","This is note","2020-10-08 03:14:53","1","5"
"26","1","2020-10-20","4","5","coach3","cor6","cor6","cor3@example.com","2","This is note","2020-10-08 03:14:53","3","2"
"27","2","2020-10-20","1","5","coach3","cor7","cor7","cor3@example.com","1","This is note","2020-10-08 03:14:53","2","2"
"28","1","2020-10-20","2","3","coach3","cor8","cor8","cor3@example.com","1","This is note","2020-10-08 03:14:53","4","4"
"29","2","2020-10-20","2","3","coach3","cor9","cor9","cor3@example.com","1","This is note","2020-10-08 03:14:53","2","4"
"30","1","2020-10-20","3","5","coach3","cor10","cor10","cor3@example.com","1","This is note","2020-10-08 03:14:53","3","2"
"31","1","2020-10-20","2","2","coach3","cor11","cor11","cor3@example.com","2","This is note","2020-10-08 03:14:53","1","5"
"32","2","2020-10-20","1","5","coach3","cor12","cor12","cor3@example.com","2","This is note","2020-10-08 03:14:53","2","1"
"33","2","2020-10-20","2","3","coach3","cor13","cor13","cor3@example.com","1","This is note","2020-10-08 03:14:53","2","1"

