"report_id","duration","session_date","motif_seance_id","rating","coach_name","user_first_name","user_last_name","user_email","user_id","language","note","report_date","status","client_feedbck"
"21","1","20/10/2020","2","5","coach3","cor3","cor3","cor3@example.com","33","1","This is note","8/10/2020 09:14:53","2","2"
"22","2","23/10/2020","3","3","coach3","cor3","cor3","cor3@example.com","33","1","fffff","31/10/2020 14:43:36","1","1"
"35","1","20/10/2020","1","2","coach3","cor3","cor3","cor3@example.com","33","1","This is note","31/10/2020 14:43:26","2","2"
"36","2","20/10/2020","2","4","coach3","cor2","cor2","cor2@example.com","32","2","This is note","8/10/2020 02:14:53","4","5"
"37","2","20/10/2020","3","4","coach3","cor4","cor4","cor4@example.com","34","2","This is note","8/10/2020 02:14:53","2","3"
"38","2","20/10/2020","3","5","coach3","cor5","cor5","cor5@example.com","35","1","This is note","8/10/2020 02:14:53","1","5"
"39","1","20/10/2020","4","5","coach3","cor6","cor6","cor6@example.com","36","2","This is note","8/10/2020 02:14:53","3","2"
"40","2","20/10/2020","1","5","coach3","cor7","cor7","cor7@example.com","37","1","This is note","8/10/2020 02:14:53","2","2"
"41","1","20/10/2020","2","3","coach3","cor8","cor8","cor8@example.com","38","1","This is note","8/10/2020 02:14:53","4","4"
"42","2","20/10/2020","2","3","coach3","cor9","cor9","cor9@example.com","39","1","This is note","8/10/2020 02:14:53","2","4"
"43","1","20/10/2020","3","5","coach3","cor10","cor10","cor10@example.com","40","1","This is note","8/10/2020 02:14:53","3","2"
"44","1","20/10/2020","2","2","coach3","cor11","cor11","cor11@example.com","41","2","This is note","8/10/2020 02:14:53","1","5"
"45","2","20/10/2020","1","3","coach3","cor12","cor12","cor12@example.com","42","2","This is note","31/10/2020 14:43:19","2","1"
"46","2","20/10/2020","2","3","coach3","cor13","cor13","cor13@example.com","43","1","This is note","8/10/2020 02:14:53","2","1"
"47","1","20/10/2020","1","5","coach3","cor3","cor3","cor3@example.com","33","1","This is note","8/10/2020 08:14:53","2","2"
"48","2","20/10/2020","2","4","coach3","cor2","cor2","cor2@example.com","32","2","This is note","8/10/2020 08:14:53","4","5"
"49","2","20/10/2020","3","4","coach3","cor4","cor4","cor4@example.com","34","2","This is note","8/10/2020 08:14:53","2","3"
"50","2","20/10/2020","3","5","coach3","cor5","cor5","cor5@example.com","35","1","This is note","8/10/2020 08:14:53","1","5"
"51","1","20/10/2020","4","5","coach3","cor6","cor6","cor6@example.com","36","2","This is note","8/10/2020 08:14:53","3","2"
"52","2","20/10/2020","1","5","coach3","cor7","cor7","cor7@example.com","37","1","This is note","8/10/2020 08:14:53","2","2"
"53","1","20/10/2020","2","3","coach3","cor8","cor8","cor8@example.com","38","1","This is note","8/10/2020 08:14:53","4","4"
"54","2","20/10/2020","2","3","coach3","cor9","cor9","cor9@example.com","39","1","This is note","8/10/2020 08:14:53","2","4"
"55","1","20/10/2020","3","5","coach3","cor10","cor10","cor10@example.com","40","1","This is note","8/10/2020 08:14:53","3","2"
"56","1","20/10/2020","2","2","coach3","cor11","cor11","cor11@example.com","41","2","This is note","8/10/2020 08:14:53","1","5"
"57","2","20/10/2020","1","5","coach3","cor12","cor12","cor12@example.com","42","2","This is note","8/10/2020 08:14:53","2","1"
"58","2","20/10/2020","2","3","coach3","cor13","cor13","cor13@example.com","43","1","This is note","8/10/2020 08:14:53","2","1"
"59","1","20/10/2020","1","5","coach3","cor3","cor3","cor3@example.com","33","1","This is note","8/10/2020 03:14:53","2","2"
"60","2","20/10/2020","2","4","coach3","cor2","cor2","cor2@example.com","32","2","This is note","8/10/2020 03:14:53","4","5"
"61","2","20/10/2020","3","4","coach3","cor4","cor4","cor4@example.com","34","2","This is note","8/10/2020 03:14:53","2","3"
"62","2","20/10/2020","3","5","coach3","cor5","cor5","cor5@example.com","35","1","This is note","8/10/2020 03:14:53","1","5"
"63","1","20/10/2020","4","5","coach3","cor6","cor6","cor6@example.com","36","2","This is note","8/10/2020 03:14:53","3","2"
"64","2","20/10/2020","1","5","coach3","cor7","cor7","cor7@example.com","37","1","This is note","8/10/2020 03:14:53","2","2"
"65","1","20/10/2020","2","3","coach3","cor8","cor8","cor8@example.com","38","1","This is note","8/10/2020 03:14:53","4","4"
"66","2","20/10/2020","2","3","coach3","cor9","cor9","cor9@example.com","39","1","This is note","8/10/2020 03:14:53","2","4"
"67","1","20/10/2020","3","5","coach3","cor10","cor10","cor10@example.com","40","1","This is note","8/10/2020 03:14:53","3","2"
